latitude,longitude,building_density,road_density_km,industrial_presence,green_space_fraction
25.08,-77.35,7848,197.3604890801701,5,252
25.0833,-77.35,5977,165.10236008599557,4,249
25.2867,51.5333,6420,606.4090191183433,3,1462
25.29,51.53,5281,575.10069607026,2,1322
26.2361,50.5831,2894,509.9305494993824,1,106
26.24,50.58,2231,463.6199503623753,1,103
27.42,-109.93,0,87.74966443044174,0,0
27.48,89.6,480,42.73746892581901,0,0
27.4833,89.6,481,42.73746892581901,0,0
27.7167,85.3167,58548,450.61689657095064,11,127
27.72,85.32,56453,461.2575863462173,9,122
28.6,77.2,2655,394.6434158514001,1,782
29.3667,47.96,1711,401.36699165010384,4,94
29.37,47.96,1314,366.12975261882985,3,93
29.37,47.98,2775,588.7186879752181,5,104
30.05,31.25,6007,747.3338966241635,1,697
31.63,-8.0,14773,540.9522585465323,2,138
31.78,35.23,11631,609.6235524984863,2,715
31.95,35.93,14139,503.69502105478205,0,87
31.95,35.9333,13846,509.4253073731365,0,87
32.89,13.18,13253,440.53166954361274,1,301
33.3386,44.3939,5470,602.1859306892708,3,686
33.34,44.39,5478,584.931562770462,7,652
33.5,36.3,3280,505.55649363729754,4,177
33.7,73.1667,4,138.20123632937373,0,1
33.7,73.17,4,141.00446603849556,0,1
33.78,-89.81,103,173.6428493943966,1,5
33.87,35.51,19727,554.7672391702341,6,817
33.8719,35.5097,19918,568.1555673225818,7,817
34.0253,-6.8361,7749,597.2528159334655,0,538
34.03,-6.84,7165,500.59954384507967,0,496
34.5167,69.1833,21471,316.2130152391667,3,140
34.52,69.18,22270,356.3835358806322,3,196
35.1667,33.3667,15928,602.771490477132,2,118
35.17,33.37,16983,593.2110721617479,4,83
35.6895,139.6917,35938,1047.1749490474215,4,1387
35.69,139.69,37563,1031.706492462511,4,1406
35.7261,51.3304,1019,563.7428412535812,8,174
35.73,51.33,977,585.0249299121008,6,194
35.8997,14.5147,4873,355.75857556487574,14,392
35.9,14.51,0,404.96747852350546,13,439
36.26,46.59,0,16.958706891771435,0,0
36.2625,46.59,0,16.958706891771435,0,0
36.76,3.05,13948,519.9957604257022,6,162
36.7631,3.0506,12815,513.5853037960834,6,324
36.8,10.18,2031,527.9635423055496,13,107
36.8028,10.1797,2177,551.8062421253773,11,117
37.5664,126.9997,13021,836.3992816353497,0,1472
37.57,127.0,13394,832.1641208122845,0,1496
37.7,65.37,0,10.411730482234217,0,0
37.95,58.38,10103,764.1633948164175,10,27016
37.95,58.3833,11173,753.3299443881847,7,25834
37.9795,23.7162,26209,846.0237789103827,26,1115
37.98,23.72,27801,878.0779453850055,23,1166
38.56,68.77,4838,483.6725589773974,13,18
38.56,68.7739,5699,486.54936938565237,11,26
38.7167,-9.1333,17058,916.0093588356001,24,3357
38.72,-9.13,17272,932.3615651271654,25,3550
38.85,34.65,6,46.297267583752465,0,0
39.0194,125.7547,6883,547.7032584110873,8,10950
39.02,125.75,5950,531.977666887,7,9442
39.53,-111.59,174,106.54168651885057,2,2
39.55,27.6167,0,47.44341313870644,0,6
39.55,27.62,0,47.44341313870644,0,6
39.9272,32.8644,11161,600.9764895873373,1,1242
39.9289,116.3883,5857,527.6414331916593,0,602
39.93,32.86,9929,618.9539750953659,2,1275
39.93,116.39,5807,543.6113600821791,0,606
40.18,44.51,12244,833.4723194749853,10,5812
40.1811,44.5136,12113,825.8927662382451,9,5858
40.3953,49.8822,1977,639.2744110478557,37,345
